"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"1630",10800,"C9","MCH50","R1",2,"2 MCH50 R1",0.449939997494221,0.293134646783896,2.72565276971639,10.322551925069
"1631",11700,"C9","MCH50","R1",2,"2 MCH50 R1",0.483399969339371,0.313583384170595,3.28928032054547,11.3335723513309
"1632",12600,"C9","MCH50","R1",2,"2 MCH50 R1",0.512070010602474,0.274470812390913,3.44094266835197,9.69951278929329
"1633",13500,"C9","MCH50","R1",2,"2 MCH50 R1",0.552279979735613,0.292255413139386,4.02631233490213,10.6435948386738
"1634",14400,"C9","MCH50","R1",2,"2 MCH50 R1",0.577200012654066,0.249074613850695,4.047974063599,8.62258576766676
"1635",15300,"C9","MCH50","R1",2,"2 MCH50 R1",0.607979997247458,0.22929757731858,4.09731922697886,6.59402279802363
"1636",16200,"C9","MCH50","R1",2,"2 MCH50 R1",0.635430008918047,0.215840593959203,3.94014340473089,5.1417129373491
"1637",17100,"C9","MCH50","R1",2,"2 MCH50 R1",0.665660019218922,0.186723931191283,4.01954575026353,2.97509801713826
"1638",18000,"C9","MCH50","R1",2,"2 MCH50 R1",0.733969986438751,0.240279288545152,3.60864057104698,1.93863307013381
"1639",18900,"C9","MCH50","R1",2,"2 MCH50 R1",0.774090027064085,0.241546198701135,3.40699799451811,0.855893897973308
"1640",19800,"C9","MCH50","R1",2,"2 MCH50 R1",0.810279956459999,0.24307786410241,3.32502153813327,1.05272348651953
"1641",20700,"C9","MCH50","R1",2,"2 MCH50 R1",0.831420002132654,0.222356026356753,3.53744670363477,1.39147483167097
"1642",21600,"C9","MCH50","R1",2,"2 MCH50 R1",0.837690002471209,0.132179969222707,3.44524988653202,1.19082379206554
