"","time","well","iptg","strain","rbs","temp","OD660","fluor","mCherry","GFP","gfp_norm","mch_norm","lnOD660","experiment","groupID","gfp_expression","mch_expression","growthrate","tgt_fluor","tgt_expression"
"1274",43200,"E2",0.01875,"MCH75","R0.25",37.1666666666667,0.806279973685741,"mCherry",17793.1,19.2,23.8130681979253,22068.140820443,-0.215324234898704,1,"1 MCH75 R0.25",8499.57630765311,-726490.101243617,0.00539728257107297,17793.1,-726490.101243617
"1275",0,"E3",0.01875,"MCH90","R2",37.1333333333333,0.024159998446703,"mCherry",114,2.90000000000001,120.033120299963,4718.54334972266,-3.72305697020762,1,"1 MCH90 R2",NA,NA,NA,114,NA
"1276",900,"E3",0.01875,"MCH90","R2",37.1333333333333,0.0246000036597252,"mCherry",104.5,1.90000000000001,77.2357608674125,4247.96684770767,-3.70500868727451,1,"1 MCH90 R2",NA,NA,NA,104.5,NA
"1277",1800,"E3",0.01875,"MCH90","R2",37.1,0.0317100003361702,"mCherry",101.8,0.599999999999994,18.9214756745241,3210.34370611095,-3.45112317983049,1,"1 MCH90 R2",NA,NA,NA,101.8,NA
"1278",2700,"E3",0.01875,"MCH90","R2",37.0666666666667,0.0438499964773655,"mCherry",110.2,2.09999999999999,47.890539765128,2513.11308672244,-3.12698064049769,1,"1 MCH90 R2",NA,NA,NA,110.2,NA
"1279",3600,"E3",0.01875,"MCH90","R2",37.2,0.0613899938762188,"mCherry",113.9,3,48.8678986684528,1855.35121944559,-2.79050842329483,1,"1 MCH90 R2",9692.5317420878,-9692.5317420878,0.932548546912788,113.9,-9692.5317420878
"1280",4500,"E3",0.01875,"MCH90","R2",37.0666666666667,0.0838500015437603,"mCherry",118,1.59999999999999,19.0816931489855,1407.27486973769,-2.47872577230194,1,"1 MCH90 R2",-22004.890343802,990220.065471052,1.22628291497257,118,990220.065471052
"1281",5400,"E3",0.01875,"MCH90","R2",37,0.113359994441271,"mCherry",123.4,3.5,30.8750897285309,1088.56744928592,-2.17718673263579,1,"1 MCH90 R2",156212.598999181,1163514.53047666,1.2739364471947,123.4,1163514.53047666
"1282",6300,"E3",0.01875,"MCH90","R2",37.1333333333333,0.14765999391675,"mCherry",138.9,2.40000000000001,16.2535561348669,940.674561305422,-1.9128429865488,1,"1 MCH90 R2",11997.0679097952,1147719.4967037,1.21413765394889,138.9,1147719.4967037
"1283",7200,"E3",0.01875,"MCH90","R2",37.3,0.187609985470772,"mCherry",156.3,4.90000000000001,26.1180127896944,833.111305924334,-1.6733900163704,1,"1 MCH90 R2",57588.3640711149,1285129.80874488,1.11711840692443,156.3,1285129.80874488
